Invoice_ID,Date,Day,Month,Time,Gender,Location,City,Is_Member?,Category,Price,Quantity,Total_Amount,Sales_Category,Payment,Rating
460489604,2018-01-25,Thursday,January,2026-06-03 16:46:00,Male,Brookfield,NewYork,Yes,Groceries,30.0,1,30.0,Low,Cash,2
471006167,2018-03-19,Monday,March,2026-06-03 16:48:00,Female,Water Tower,Chicago,Yes,Fashion,35.0,5,175.0,Low,Card,3
411909258,2018-02-25,Sunday,February,2026-06-03 13:33:00,Male,Water Tower,Chicago,No,Clothing,57.0,2,114.0,Low,Cash,5
487313402,2018-01-22,Monday,January,2026-06-03 13:38:00,Female,Park Lane,Dallas,Yes,Sporting,89.0,4,356.0,Medium,Gpay,1
197763430,2018-02-18,Sunday,February,2026-06-03 15:31:00,Female,Park Lane,Dallas,No,Books,82.0,5,410.0,High,Cash,4
263634050,2018-03-09,Friday,March,2026-06-03 17:55:00,Male,Brookfield,NewYork,Yes,Clothing,52.0,4,208.0,Medium,Gpay,3
99646662,2018-03-04,Sunday,March,2026-06-03 13:21:00,Male,Water Tower,Chicago,No,Clothing,81.0,3,243.0,Medium,Cash,4
188869875,2018-03-08,Thursday,March,2026-06-03 13:24:00,Male,Park Lane,Dallas,No,Books,80.0,2,160.0,Low,Cash,3
325637547,2018-01-18,Thursday,January,2026-06-03 15:33:00,Male,Park Lane,Dallas,Yes,Clothing,91.0,3,273.0,Medium,Card,3
562942936,2018-02-24,Saturday,February,2026-06-03 16:05:00,Female,Park Lane,Dallas,No,Books,80.0,2,160.0,Low,Cash,4
388412668,2018-02-26,Monday,February,2026-06-03 11:32:00,Female,Brookfield,NewYork,No,Furniture,35.0,4,140.0,Low,Gpay,4
846531724,2018-03-15,Thursday,March,2026-06-03 12:12:00,Male,Park Lane,Dallas,No,Sporting,22.0,5,110.0,Low,Card,4
149894432,2018-01-12,Friday,January,2026-06-03 11:12:00,Male,Park Lane,Dallas,No,Clothing,77.0,5,385.0,Medium,Cash,4
942406749,2018-01-18,Thursday,January,2026-06-03 15:20:00,Female,Water Tower,Chicago,Yes,Clothing,9.0,6,54.0,Low,Gpay,5
547572603,2018-03-21,Wednesday,March,2026-06-03 13:23:00,Female,Brookfield,NewYork,No,Fashion,98.0,7,686.0,High,Gpay,3
355981315,2018-02-15,Thursday,February,2026-06-03 15:47:00,Female,Brookfield,NewYork,Yes,Clothing,78.0,5,390.0,Medium,Card,5
397754805,2018-02-09,Friday,February,2026-06-03 15:59:00,Female,Brookfield,NewYork,Yes,Sporting,35.0,7,245.0,Medium,Gpay,1
90524319,2018-03-19,Monday,March,2026-06-03 18:18:00,Male,Park Lane,Dallas,Yes,Clothing,23.0,1,23.0,Low,Cash,3
542144906,2018-02-06,Tuesday,February,2026-06-03 10:58:00,Female,Brookfield,NewYork,Yes,Fashion,33.0,5,165.0,Low,Gpay,2
729486362,2018-03-07,Wednesday,March,2026-06-03 12:50:00,Male,Water Tower,Chicago,No,Groceries,39.0,4,156.0,Low,Cash,3
619639105,2018-03-26,Monday,March,2026-06-03 19:48:00,Female,Brookfield,NewYork,No,Groceries,44.0,6,264.0,Medium,Cash,1
443198801,2018-02-24,Saturday,February,2026-06-03 19:31:00,Female,Brookfield,NewYork,No,Clothing,48.0,5,240.0,Medium,Card,5
761515143,2018-01-15,Monday,January,2026-06-03 16:08:00,Female,Park Lane,Dallas,No,Groceries,23.0,1,23.0,Low,Gpay,3
56578535,2018-03-23,Friday,March,2026-06-03 10:11:00,Male,Water Tower,Chicago,Yes,Groceries,24.0,1,24.0,Low,Gpay,2
834838148,2018-02-15,Thursday,February,2026-06-03 13:00:00,Male,Brookfield,NewYork,Yes,Groceries,12.0,4,48.0,Low,Card,1
833288071,2018-01-25,Thursday,January,2026-06-03 15:02:00,Male,Water Tower,Chicago,No,Sporting,16.0,5,80.0,Low,Gpay,2
508614950,2018-01-24,Wednesday,January,2026-06-03 16:47:00,Female,Park Lane,Dallas,No,Sporting,38.0,2,76.0,Low,Cash,4
103072863,2018-03-12,Monday,March,2026-06-03 11:57:00,Male,Water Tower,Chicago,No,Groceries,41.0,6,246.0,Medium,Card,5
355815500,2018-01-20,Saturday,January,2026-06-03 15:09:00,Female,Park Lane,Dallas,Yes,Furniture,16.0,6,96.0,Low,Card,2
193855414,2018-03-04,Sunday,March,2026-06-03 12:04:00,Female,Brookfield,NewYork,Yes,Clothing,51.0,4,204.0,Medium,Card,2
